Order ID,Client ID,Order Date,Ship Mode,Segment,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
US-2015-150751,C00000230,09 July 2021,Standard Class,Consumer,OFF-AP-10003842,Office Supplies,Appliances,Euro-Pro Shark Turbo Vacuum,123.92,5,0.2,9.294
US-2015-150752,C00000596,06 January 2019,Standard Class,Consumer,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1537.074,9,0.3,0
US-2015-150753,C00000223,01 September 2023,Second Class,Consumer,OFF-AR-10001419,Office Supplies,Art,Newell 325,9.912,3,0.2,1.239
US-2015-150754,C00000010,16 March 2021,Second Class,Corporate,OFF-BI-10002432,Office Supplies,Binders,Wilson Jones Standard D-Ring Binders,12.144,3,0.2,4.0986
US-2015-150755,C00000981,17 September 2020,Standard Class,Corporate,OFF-AR-10000588,Office Supplies,Art,Newell 345,59.52,3,0,15.4752
US-2015-150756,C00000791,06 October 2019,Standard Class,Home Office,OFF-BI-10003707,Office Supplies,Binders,Aluminum Screw Posts,18.312,4,0.7,-12.208
US-2015-150757,C00000794,23 September 2022,Second Class,Corporate,OFF-LA-10002945,Office Supplies,Labels,"Permanent Self-Adhesive File Folder Labels for Typewriters, 1 1/8 x 3 1/2, White",45.36,9,0.2,14.742
US-2015-150758,C00000686,10 June 2022,Standard Class,Corporate,FUR-CH-10003396,Furniture,Chairs,Global Deluxe Steno Chair,184.752,3,0.2,-20.7846
US-2015-150759,C00000932,21 December 2021,Second Class,Consumer,OFF-BI-10002706,Office Supplies,Binders,Avery Premier Heavy-Duty Binder with Round Locking Rings,11.424,1,0.2,3.7128
US-2015-150760,C00000776,22 June 2020,Second Class,Consumer,FUR-CH-10004875,Furniture,Chairs,Harbour Creations 67200 Series Stacking Chairs,128.124,2,0.1,24.2012
US-2015-150761,C00000401,28 August 2020,First Class,Consumer,TEC-AC-10003832,Technology,Accessories,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,132.52,5,0.2,34.7865
US-2015-150762,C00000452,09 July 2021,Standard Class,Corporate,OFF-BI-10001670,Office Supplies,Binders,Vinyl Sectional Post Binders,90.48,3,0.2,33.93
US-2015-150763,C00000893,25 February 2022,Second Class,Corporate,TEC-PH-10002538,Technology,Phones,Grandstream GXP1160 VoIP phone,37.91,1,0,10.9939
US-2015-150764,C00000117,17 March 2019,Standard Class,Corporate,OFF-AR-10001988,Office Supplies,Art,Bulldog Table or Wall-Mount Pencil Sharpener,17.97,3,0,5.2113
US-2015-150765,C00000913,28 March 2019,Standard Class,Home Office,FUR-TA-10001095,Furniture,Tables,Chromcraft Round Conference Tables,697.16,4,0,146.4036
US-2015-150766,C00000189,05 August 2021,Standard Class,Corporate,TEC-MA-10000488,Technology,Machines,Bady BDG101FRU Card Printer,1439.982,3,0.4,-263.9967
US-2015-150767,C00000765,11 July 2019,Standard Class,Home Office,OFF-ST-10002554,Office Supplies,Storage,Tennsco Industrial Shelving,78.256,2,0.2,-17.6076
US-2015-150768,C00000532,22 February 2022,Standard Class,Corporate,OFF-BI-10002954,Office Supplies,Binders,Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders,7.312,2,0.2,2.5592
US-2015-150769,C00000279,19 July 2023,Standard Class,Corporate,TEC-PH-10002496,Technology,Phones,Cisco SPA301,124.792,1,0.2,15.599
US-2015-150770,C00000577,27 February 2019,Standard Class,Consumer,OFF-BI-10001553,Office Supplies,Binders,SpineVue Locking Slant-D Ring Binders by Cardinal,14.624,2,0.2,5.1184
US-2015-150771,C00000059,30 October 2022,Standard Class,Consumer,OFF-BI-10001294,Office Supplies,Binders,Fellowes Binding Cases,121.68,13,0.2,38.025
US-2015-150772,C00000318,02 May 2019,Standard Class,Consumer,OFF-BI-10003094,Office Supplies,Binders,Self-Adhesive Ring Binder Labels,11.264,4,0.2,3.8016
US-2015-150773,C00000470,29 January 2021,Standard Class,Consumer,OFF-AR-10002375,Office Supplies,Art,Newell 351,13.12,4,0,3.8048
US-2015-150774,C00000211,20 April 2021,Standard Class,Consumer,OFF-BI-10004140,Office Supplies,Binders,Avery Non-Stick Binders,2.694,2,0.7,-2.245
US-2015-150775,C00000609,01 January 2019,Standard Class,Corporate,FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,63.552,3,0.2,14.2992
US-2015-150776,C00000620,02 October 2020,Standard Class,Corporate,OFF-PA-10000327,Office Supplies,Paper,Xerox 1971,10.272,3,0.2,3.21
US-2015-150777,C00000976,23 November 2019,Standard Class,Corporate,OFF-AP-10004249,Office Supplies,Appliances,Staple holder,35.91,3,0,9.6957
US-2015-150778,C00000098,17 July 2022,Standard Class,Consumer,OFF-AP-10002350,Office Supplies,Appliances,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,45.216,3,0.2,4.5216
US-2015-150779,C00000036,19 January 2022,Second Class,Home Office,TEC-PH-10001835,Technology,Phones,Jawbone JAMBOX Wireless Bluetooth Speaker,758.352,6,0.2,265.4232
US-2015-150780,C00000028,05 November 2022,Standard Class,Consumer,OFF-BI-10002393,Office Supplies,Binders,Binder Posts,2.296,2,0.8,-3.9032
US-2015-150781,C00000424,30 January 2023,Standard Class,Consumer,TEC-AC-10004901,Technology,Accessories,Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver ,79.984,2,0.2,13.9972
US-2015-150782,C00000184,11 December 2022,First Class,Corporate,OFF-AR-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",3.408,1,0.2,0.8946
US-2015-150783,C00000958,24 March 2020,Standard Class,Corporate,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,8.4,5,0,4.2
US-2015-150784,C00000664,01 January 2019,Standard Class,Corporate,OFF-AP-10001962,Office Supplies,Appliances,Black & Decker Filter for Double Action Dustbuster Cordless Vac BLDV7210,20.136,3,0.2,1.2585
US-2015-150785,C00000740,26 May 2023,First Class,Consumer,OFF-PA-10002230,Office Supplies,Paper,Xerox 1897,19.92,4,0,9.7608
US-2015-150786,C00000810,06 May 2019,Standard Class,Corporate,OFF-AP-10001962,Office Supplies,Appliances,Black & Decker Filter for Double Action Dustbuster Cordless Vac BLDV7210,8.39,1,0,2.0975
US-2015-150787,C00000891,07 October 2019,Second Class,Home Office,OFF-AP-10001205,Office Supplies,Appliances,Belkin 5 Outlet SurgeMaster Power Centers,54.48,1,0,15.2544
US-2015-150788,C00000569,25 April 2019,Second Class,Consumer,OFF-BI-10004022,Office Supplies,Binders,Acco Suede Grain Vinyl Round Ring Binder,2.502,3,0.7,-2.0016
US-2015-150789,C00000885,23 June 2020,Second Class,Corporate,FUR-FU-10000723,Furniture,Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",289.24,7,0,26.0316
US-2015-150790,C00000922,03 August 2019,Standard Class,Consumer,OFF-ST-10001370,Office Supplies,Storage,Sensible Storage WireTech Storage Systems,354.9,5,0,17.745
