Order ID,Client ID,Order Date,Segment,Product ID,Product Name,Sales,Quantity
US-2015-153595,C00000483,"Friday, January 10, 2020",Corporate,TEC-PH-10003645,Aastra 57i VoIP phone,258.576,2
US-2015-154222,C00000995,"Friday, January 10, 2020",Home Office,OFF-PA-10003465,Xerox 1912,37.94,2
US-2015-155271,C00001000,"Friday, January 10, 2020",Home Office,OFF-BI-10004308,Avery Legal 4-Ring Binder,67.136,4
US-2015-156232,C00000251,"Friday, January 10, 2020",Home Office,FUR-CH-10002304,"Global Stack Chair without Arms, Black",127.302,7
US-2015-156442,C00000456,"Friday, January 10, 2020",Home Office,OFF-AR-10003056,Newell 341,17.12,4
US-2015-157444,C00000442,"Friday, January 10, 2020",Consumer,OFF-ST-10000563,Fellowes Bankers Box Stor/Drawer Steel Plus,191.88,6
US-2015-158781,C00000683,"Friday, January 10, 2020",Home Office,TEC-PH-10003589,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,43.176,3
US-2015-160162,C00000942,"Friday, January 10, 2020",Consumer,OFF-AR-10003903,Sanford 52201 APSCO Electric Pencil Sharpener,204.85,5
US-2015-152534,C00000420,"Saturday, January 11, 2020",Consumer,FUR-BO-10002268,Sauder Barrister Bookcases,145.764,6
US-2015-153930,C00000184,"Saturday, January 11, 2020",Consumer,OFF-AP-10004655,"Holmes Visible Mist Ultrasonic Humidifier with 2.3-Gallon Output per Day, Replacement Filter",45.28,4
US-2015-155085,C00000036,"Saturday, January 11, 2020",Consumer,TEC-AC-10002335,Logitech Media Keyboard K200,83.976,3
US-2015-155330,C00000826,"Saturday, January 11, 2020",Consumer,OFF-BI-10004236,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",58.72,4
US-2015-156231,C00000880,"Saturday, January 11, 2020",Corporate,FUR-FU-10001979,Dana Halogen Swing-Arm Architect Lamp,122.91,3
US-2015-157646,C00000727,"Saturday, January 11, 2020",Consumer,OFF-BI-10001634,Wilson Jones Active Use Binders,11.648,2
US-2015-155789,C00000589,"Sunday, January 12, 2020",Corporate,OFF-PA-10001497,Xerox 1914,131.904,3
US-2015-157599,C00000166,"Sunday, January 12, 2020",Corporate,TEC-AC-10001114,Microsoft Wireless Mobile Mouse 4000,159.96,4
US-2015-159070,C00000827,"Sunday, January 12, 2020",Consumer,FUR-FU-10003553,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",165.048,3
US-2015-151795,C00001012,"Monday, January 13, 2020",Consumer,OFF-BI-10002432,Wilson Jones Standard D-Ring Binders,4.554,3
US-2015-152266,C00000980,"Monday, January 13, 2020",Corporate,FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",205.9992,3
US-2015-154211,C00000008,"Monday, January 13, 2020",Home Office,TEC-AC-10002842,WD My Passport Ultra 2TB Portable External Hard Drive,666.4,7
US-2015-157644,C00000185,"Monday, January 13, 2020",Consumer,OFF-PA-10001937,Xerox 21,36.288,7
US-2015-159593,C00000108,"Monday, January 13, 2020",Consumer,OFF-BI-10003719,Large Capacity Hanging Post Binders,39.92,2
US-2015-159720,C00000262,"Monday, January 13, 2020",Consumer,OFF-BI-10001510,Deluxe Heavy-Duty Vinyl Round Ring Binder,36.672,2
US-2015-159913,C00000395,"Monday, January 13, 2020",Consumer,OFF-BI-10001107,"GBC White Gloss Covers, Plain Front",2.896,1
US-2015-160248,C00000760,"Monday, January 13, 2020",Consumer,OFF-AR-10003514,4009 Highlighters by Sanford,27.86,7
US-2015-152500,C00001042,"Tuesday, January 14, 2020",Consumer,FUR-TA-10004607,Hon 2111 Invitation Series Straight Table,310.443,3
US-2015-152971,C00000593,"Tuesday, January 14, 2020",Corporate,OFF-BI-10004817,GBC Personal VeloBind Strips,9.584,1
US-2015-154074,C00000813,"Tuesday, January 14, 2020",Consumer,OFF-PA-10002246,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",15.48,3
US-2015-154188,C00000223,"Tuesday, January 14, 2020",Consumer,OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",1.592,2
US-2015-155473,C00000685,"Tuesday, January 14, 2020",Consumer,OFF-PA-10004971,Xerox 196,17.34,3
US-2015-158749,C00000842,"Tuesday, January 14, 2020",Consumer,OFF-EN-10002312,#10 Self-Seal White Envelopes,11.09,1
US-2015-153915,C00000712,"Wednesday, January 15, 2020",Consumer,OFF-ST-10000636,Rogers Profile Extra Capacity Storage Tub,83.7,5
US-2015-154572,C00000342,"Wednesday, January 15, 2020",Corporate,TEC-AC-10001267,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,59.9,2
US-2015-154836,C00000470,"Wednesday, January 15, 2020",Consumer,OFF-LA-10003766,Self-Adhesive Removable Labels,9.45,3
US-2015-157045,C00000677,"Wednesday, January 15, 2020",Corporate,OFF-PA-10002713,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",13.76,2
US-2015-153450,C00000082,"Thursday, January 16, 2020",Consumer,TEC-AC-10002550,"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 30/Pack",159.75,5
US-2015-154197,C00000315,"Thursday, January 16, 2020",Consumer,FUR-CH-10000225,"Global Geo Office Task Chair, Gray",194.352,3
US-2015-155010,C00000758,"Thursday, January 16, 2020",Consumer,OFF-ST-10000078,Tennsco 6- and 18-Compartment Lockers,424.272,2
US-2015-156277,C00000364,"Thursday, January 16, 2020",Corporate,OFF-BI-10002852,Ibico Standard Transparent Covers,13.184,4
US-2015-156349,C00000292,"Thursday, January 16, 2020",Consumer,OFF-AR-10001166,Staples in misc. colors,30.32,4
US-2015-156975,C00000574,"Thursday, January 16, 2020",Consumer,OFF-PA-10000418,Xerox 189,104.85,1
US-2015-157015,C00000905,"Thursday, January 16, 2020",Consumer,FUR-FU-10001861,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",77.6,4
US-2015-159280,C00000880,"Thursday, January 16, 2020",Corporate,FUR-CH-10004997,Hon Every-Day Series Multi-Task Chairs,657.93,5
US-2015-150642,C00001001,"Friday, January 17, 2020",Corporate,FUR-TA-10004152,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",241.92,4
US-2015-151282,C00000629,"Friday, January 17, 2020",Consumer,OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",20.94,3
US-2015-152908,C00000224,"Friday, January 17, 2020",Home Office,FUR-FU-10004017,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",258.072,3
US-2015-155967,C00000966,"Friday, January 17, 2020",Consumer,FUR-FU-10004351,Staple-based wall hangings,77.92,8
US-2015-156574,C00000232,"Friday, January 17, 2020",Consumer,OFF-ST-10001128,"Carina Mini System Audio Rack, Model AR050B",443.92,5
US-2015-160436,C00000041,"Friday, January 17, 2020",Corporate,TEC-AC-10004975,Plantronics Audio 995 Wireless Stereo Headset,1099.5,10
US-2015-151579,C00001040,"Saturday, January 18, 2020",Consumer,FUR-FU-10002253,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",103.056,3
US-2015-152089,C00000964,"Saturday, January 18, 2020",Corporate,OFF-EN-10003072,Peel & Seel Envelopes,19.4,5
US-2015-152418,C00000311,"Saturday, January 18, 2020",Consumer,OFF-BI-10001634,Wilson Jones Active Use Binders,8.736,4
US-2015-158797,C00000575,"Saturday, January 18, 2020",Consumer,OFF-ST-10002554,Tennsco Industrial Shelving,156.512,4
US-2015-159138,C00000691,"Saturday, January 18, 2020",Consumer,FUR-FU-10004904,"Eldon ""L"" Workstation Diamond Chairmat",303.92,5
US-2015-159219,C00001046,"Saturday, January 18, 2020",Consumer,OFF-PA-10000130,Xerox 199,3.424,1
US-2015-160504,C00000558,"Saturday, January 18, 2020",Home Office,OFF-ST-10001370,Sensible Storage WireTech Storage Systems,511.056,9
US-2015-151429,C00000666,"Sunday, January 19, 2020",Consumer,TEC-PH-10002185,QVS USB Car Charger 2-Port 2.1Amp for iPod/iPhone/iPad/iPad 2/iPad 3,16.68,3
US-2015-152923,C00000518,"Sunday, January 19, 2020",Consumer,TEC-PH-10001924,iHome FM Clock Radio with Lightning Dock,111.984,2
US-2015-159330,C00000583,"Sunday, January 19, 2020",Corporate,OFF-ST-10002205,File Shuttle I and Handi-File,155.82,7
US-2015-159460,C00000958,"Sunday, January 19, 2020",Home Office,OFF-PA-10003790,Xerox 1991,18.272,1
US-2015-159937,C00000292,"Sunday, January 19, 2020",Consumer,FUR-TA-10002958,"Bevis Oval Conference Table, Walnut",913.43,5
US-2015-150944,C00000290,"Monday, January 20, 2020",Consumer,OFF-BI-10002813,Avery Reinforcements for Hole-Punch Pages,3.168,2
US-2015-151568,C00000680,"Monday, January 20, 2020",Corporate,OFF-LA-10003148,Avery 51,18.9,3
US-2015-152621,C00000008,"Monday, January 20, 2020",Corporate,OFF-PA-10003036,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",17.472,3
US-2015-153420,C00000745,"Monday, January 20, 2020",Home Office,OFF-AP-10000026,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,73.164,6
US-2015-154058,C00000036,"Monday, January 20, 2020",Consumer,OFF-BI-10004781,GBC Wire Binding Strips,50.784,2
US-2015-155701,C00000204,"Monday, January 20, 2020",Consumer,TEC-PH-10001299,Polycom CX300 Desktop Phone USB VoIP phone,539.964,6
US-2015-155927,C00000544,"Monday, January 20, 2020",Corporate,OFF-ST-10001321,"Decoflex Hanging Personal Folder File, Blue",46.26,3
US-2015-157877,C00000922,"Monday, January 20, 2020",Consumer,OFF-AR-10003251,Prang Drawing Pencil Set,5.56,2
US-2015-152772,C00000796,"Tuesday, January 21, 2020",Consumer,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",975.92,5
US-2015-153575,C00000825,"Tuesday, January 21, 2020",Corporate,TEC-PH-10001817,Wilson Electronics DB Pro Signal Booster,859.2,3
US-2015-155095,C00000924,"Tuesday, January 21, 2020",Consumer,OFF-AP-10002906,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,0.444,1
US-2015-155159,C00000365,"Tuesday, January 21, 2020",Corporate,OFF-LA-10000452,Avery 488,3.15,1
US-2015-156137,C00000787,"Tuesday, January 21, 2020",Consumer,FUR-FU-10000550,Stacking Trays by OIC,19.92,4
US-2015-156161,C00000392,"Tuesday, January 21, 2020",Consumer,OFF-PA-10003349,Xerox 1957,15.552,3
US-2015-151861,C00000381,"Wednesday, January 22, 2020",Home Office,OFF-AR-10000034,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",33.92,8
US-2015-154035,C00000675,"Wednesday, January 22, 2020",Home Office,TEC-PH-10002645,LG G2,1499.97,5
US-2015-154083,C00000911,"Wednesday, January 22, 2020",Consumer,OFF-PA-10001892,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",24.448,4
US-2015-154332,C00000189,"Wednesday, January 22, 2020",Corporate,OFF-BI-10002764,Recycled Pressboard Report Cover with Reinforced Top Hinge,2.907,3
US-2015-155722,C00001029,"Wednesday, January 22, 2020",Corporate,OFF-PA-10004041,"It's Hot Message Books with Stickers, 2 3/4"" x 5""",23.68,4
US-2015-158627,C00000450,"Wednesday, January 22, 2020",Home Office,OFF-AR-10002956,Boston 16801 Nautilus Battery Pencil Sharpener,44.02,2
US-2015-151746,C00000293,"Thursday, January 23, 2020",Home Office,OFF-LA-10002034,Avery 478,39.28,8
US-2015-154952,C00000859,"Thursday, January 23, 2020",Consumer,OFF-AR-10002952,Stanley Contemporary Battery Pencil Sharpeners,106.8,10
US-2015-157035,C00000349,"Thursday, January 23, 2020",Consumer,TEC-PH-10003215,Jackery Bar Premium Fast-charging Portable Charger,179.7,6
US-2015-158467,C00000517,"Thursday, January 23, 2020",Consumer,OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,1577.94,3
US-2015-159438,C00000683,"Thursday, January 23, 2020",Consumer,OFF-PA-10001357,Xerox 1886,143.7,3
US-2015-160042,C00000851,"Thursday, January 23, 2020",Consumer,OFF-PA-10003465,Xerox 1912,37.94,2
US-2015-160405,C00000362,"Thursday, January 23, 2020",Corporate,OFF-BI-10004492,Tuf-Vin Binders,37.896,4
US-2015-152735,C00000996,"Friday, January 24, 2020",Home Office,OFF-BI-10002160,Acco Hanging Data Binders,15.24,5
US-2015-160038,C00000754,"Friday, January 24, 2020",Corporate,OFF-AP-10002191,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,143.952,3
US-2015-151779,C00000155,"Saturday, January 25, 2020",Consumer,TEC-PH-10002923,"Logitech B530 USB Headset - headset - Full size, Binaural",73.98,2
US-2015-153500,C00000259,"Saturday, January 25, 2020",Consumer,OFF-ST-10002485,Rogers Deluxe File Chest,87.92,4
US-2015-157573,C00000616,"Saturday, January 25, 2020",Consumer,FUR-FU-10003878,"Linden 10"" Round Wall Clock, Black",48.896,4
US-2015-157860,C00000338,"Saturday, January 25, 2020",Corporate,OFF-AR-10002375,Newell 351,10.496,4
US-2015-158581,C00000686,"Saturday, January 25, 2020",Consumer,FUR-FU-10000193,Tenex Chairmats For Use with Hard Floors,64.96,5
US-2015-160073,C00000500,"Saturday, January 25, 2020",Corporate,OFF-BI-10004970,"ACCOHIDE 3-Ring Binder, Blue, 1""",26.432,8
US-2015-151830,C00000409,"Sunday, January 26, 2020",Corporate,OFF-PA-10001033,Xerox 1893,98.376,3
US-2015-155242,C00000202,"Sunday, January 26, 2020",Consumer,OFF-BI-10000343,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",3.928,1
US-2015-157191,C00000162,"Sunday, January 26, 2020",Consumer,OFF-BI-10001543,GBC VeloBinder Manual Binding System,28.792,1
US-2015-158097,C00000974,"Sunday, January 26, 2020",Home Office,OFF-PA-10000357,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",122.97,3
US-2015-153563,C00000015,"Monday, January 27, 2020",Corporate,OFF-AP-10001366,Staple holder,87.84,8
US-2015-153716,C00000749,"Monday, January 27, 2020",Consumer,FUR-CH-10001146,"Global Task Chair, Black",71.246,2
US-2015-156059,C00000624,"Monday, January 27, 2020",Consumer,FUR-FU-10002364,"Eldon Expressions Wood Desk Accessories, Oak",14.76,2
US-2015-156621,C00001000,"Monday, January 27, 2020",Home Office,OFF-EN-10004846,Letter or Legal Size Expandable Poly String Tie Envelopes,10.64,5
US-2015-158331,C00000746,"Monday, January 27, 2020",Consumer,OFF-ST-10003123,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,199.74,6
US-2015-152296,C00000916,"Tuesday, January 28, 2020",Home Office,OFF-SU-10000381,Acme Forged Steel Scissors with Black Enamel Handles,27.93,3
US-2015-153268,C00000631,"Tuesday, January 28, 2020",Home Office,OFF-AR-10001940,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",3.28,1
US-2015-153944,C00000694,"Tuesday, January 28, 2020",Consumer,OFF-AP-10000891,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,262.24,2
US-2015-154785,C00000970,"Tuesday, January 28, 2020",Consumer,TEC-AC-10003832,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,66.26,2
US-2015-157155,C00000554,"Tuesday, January 28, 2020",Corporate,OFF-ST-10000885,Fellowes Desktop Hanging File Manager,67.15,5
US-2015-157494,C00000019,"Tuesday, January 28, 2020",Home Office,OFF-ST-10003641,Space Solutions Industrial Galvanized Steel Shelving.,315.2,4
US-2015-158698,C00000729,"Tuesday, January 28, 2020",Consumer,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",93.456,3
US-2015-159807,C00000420,"Tuesday, January 28, 2020",Corporate,OFF-AR-10001374,"BIC Brite Liner Highlighters, Chisel Tip",32.4,5
US-2015-150721,C00000934,"Wednesday, January 29, 2020",Consumer,TEC-AC-10002018,AmazonBasics 3-Button USB Wired Mouse,16.776,3
US-2015-151020,C00000272,"Wednesday, January 29, 2020",Consumer,OFF-PA-10002986,Xerox 1898,46.76,7
US-2015-156151,C00000909,"Wednesday, January 29, 2020",Corporate,TEC-PH-10004897,Mediabridge Sport Armband iPhone 5s,69.93,7
US-2015-156985,C00000659,"Wednesday, January 29, 2020",Home Office,OFF-AR-10001468,"Sanford Prismacolor Professional Thick Lead Art Pencils, 36-Color Set",59.904,2
US-2015-158631,C00001015,"Wednesday, January 29, 2020",Corporate,OFF-ST-10000777,"Companion Letter/Legal File, Black",60.416,2
US-2015-159927,C00000875,"Wednesday, January 29, 2020",Corporate,FUR-FU-10004671,"Executive Impressions 12"" Wall Clock",42.408,3
US-2015-150921,C00001010,"Thursday, January 30, 2020",Consumer,OFF-AR-10002952,Stanley Contemporary Battery Pencil Sharpeners,26.7,2
US-2015-151955,C00000524,"Thursday, January 30, 2020",Consumer,TEC-PH-10001530,Plantronics Voyager Pro Legend,494.376,3
US-2015-155222,C00000922,"Thursday, January 30, 2020",Consumer,FUR-CH-10002372,Office Star - Ergonomically Designed Knee Chair,113.372,2
US-2015-157481,C00000939,"Thursday, January 30, 2020",Consumer,OFF-PA-10001534,Xerox 230,12.96,2
US-2015-159681,C00001018,"Thursday, January 30, 2020",Consumer,OFF-BI-10001510,Deluxe Heavy-Duty Vinyl Round Ring Binder,91.68,5
US-2015-150861,C00000752,"Friday, January 31, 2020",Consumer,OFF-PA-10004569,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",18.264,3
US-2015-151843,C00000698,"Friday, January 31, 2020",Consumer,OFF-AR-10000658,Newell 324,34.65,3
US-2015-156092,C00000717,"Friday, January 31, 2020",Consumer,OFF-BI-10001757,Pressboard Hanging Data Binders for Unburst Sheets,11.808,8
US-2015-157060,C00000981,"Friday, January 31, 2020",Corporate,OFF-LA-10001045,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,5.22,2
US-2015-159022,C00000421,"Friday, January 31, 2020",Consumer,OFF-ST-10000604,Home/Office Personal File Carts,69.52,2
US-2015-159732,C00000756,"Friday, January 31, 2020",Home Office,OFF-BI-10001634,Wilson Jones Active Use Binders,29.12,4
US-2015-152250,C00001018,"Saturday, February 1, 2020",Consumer,OFF-FA-10000735,Staples,11.68,4
US-2015-152429,C00001009,"Saturday, February 1, 2020",Corporate,OFF-AP-10004708,Fellowes Superior 10 Outlet Split Surge Protector,213.136,7
US-2015-156851,C00000904,"Saturday, February 1, 2020",Consumer,FUR-FU-10000308,Deflect-o Glass Clear Studded Chair Mats,435.26,7
US-2015-157569,C00000195,"Saturday, February 1, 2020",Home Office,OFF-PA-10001826,Xerox 207,19.44,3
US-2015-158257,C00000712,"Saturday, February 1, 2020",Consumer,TEC-PH-10003589,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,71.96,5
US-2015-159671,C00000642,"Saturday, February 1, 2020",Corporate,OFF-EN-10000056,Cameo Buff Policy Envelopes,149.352,3
US-2015-151692,C00000401,"Sunday, February 2, 2020",Consumer,OFF-AR-10004022,Panasonic KP-380BK Classic Electric Pencil Sharpener,71.96,2
US-2015-152335,C00000827,"Sunday, February 2, 2020",Corporate,OFF-LA-10001175,Avery 514,14.4,5
US-2015-153255,C00000358,"Sunday, February 2, 2020",Consumer,OFF-AP-10004859,Acco 6 Outlet Guardian Premium Surge Suppressor,58.24,4
US-2015-153998,C00000519,"Sunday, February 2, 2020",Consumer,TEC-AC-10002323,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,106.08,6
